configName,workload,threads,target,actualTput,actualTput Total,averageLatency,operation,numOperations,minLatency,maxLatency,percentile95Latency,percentile99Latency
devmain,WrtConcern1,10,100,41.05477939214293,410.54779392142933,242461.05260692057,READ,29882.0,22405.0,2366421.0,505.0,842.0
devmain,WrtConcern1,10,100,41.05477939214293,410.54779392142933,241004.97765455872,UPDATE,30118.0,21516.0,2311230.0,498.0,836.0
devmain,WrtConcern1,1,10,9.99803372003506,9.99803372003506,45974.484220907296,READ,3042.0,20327.0,8490930.0,85.0,357.0
devmain,WrtConcern1,1,10,9.99803372003506,9.99803372003506,41911.80797836376,UPDATE,2958.0,22527.0,1210049.0,77.0,308.0
devmain,WrtConcern1,1,100,30.372595819212187,30.372595819212187,32673.675598022182,READ,29932.0,20558.0,2514971.0,45.0,135.0
devmain,WrtConcern1,1,100,30.372595819212187,30.372595819212187,33141.34721298391,UPDATE,30068.0,20991.0,2319284.0,45.0,131.0
devmain,WrtConcern1,1,20,19.988173663915518,19.988173663915518,39433.86019681032,READ,5894.0,20904.0,2162839.0,65.0,274.0
devmain,WrtConcern1,1,20,19.988173663915518,19.988173663915518,39572.998853586636,UPDATE,6106.0,21290.0,2103605.0,63.0,274.0
devmain,WrtConcern1,1,30,28.993771171493325,28.993771171493325,34052.89923341851,READ,9001.0,21277.0,1446481.0,48.0,137.0
devmain,WrtConcern1,1,30,28.993771171493325,28.993771171493325,34867.596288476496,UPDATE,8999.0,21428.0,1966550.0,49.0,177.0
devmain,WrtConcern1,1,40,30.522002548587214,30.522002548587214,32511.71621281944,READ,11935.0,20681.0,1694826.0,44.0,122.0
devmain,WrtConcern1,1,40,30.522002548587214,30.522002548587214,32511.71621281944,READ,11935.0,20681.0,1694826.0,44.0,122.0
devmain,WrtConcern1,1,40,30.522002548587214,30.522002548587214,32947.76071280563,UPDATE,12065.0,19704.0,1676658.0,47.0,124.0
devmain,WrtConcern1,1,40,30.522002548587214,30.522002548587214,32947.76071280563,UPDATE,12065.0,19704.0,1676658.0,47.0,124.0
devmain,WrtConcern1,1,50,31.01945436779767,31.01945436779767,31956.944572444212,READ,15191.0,20503.0,3281996.0,43.0,118.0
devmain,WrtConcern1,1,50,31.01945436779767,31.01945436779767,31956.944572444212,READ,15191.0,20503.0,3281996.0,43.0,118.0
devmain,WrtConcern1,1,50,31.01945436779767,31.01945436779767,32485.544331149977,UPDATE,14809.0,20581.0,1611328.0,44.0,126.0
devmain,WrtConcern1,1,50,31.01945436779767,31.01945436779767,32485.544331149977,UPDATE,14809.0,20581.0,1611328.0,44.0,126.0
devmain,WrtConcern1,1,60,30.710565714212596,30.710565714212596,32187.466458135506,READ,17903.0,19483.0,1395080.0,46.0,119.0
devmain,WrtConcern1,1,60,30.710565714212596,30.710565714212596,32881.82229098745,UPDATE,18097.0,21020.0,1543950.0,45.0,125.0
devmain,WrtConcern1,1,70,30.476964494336364,30.476964494336364,32761.94653335211,READ,21303.0,20349.0,1350266.0,45.0,126.0
devmain,WrtConcern1,1,70,30.476964494336364,30.476964494336364,32828.37995844809,UPDATE,20697.0,20166.0,1485236.0,46.0,129.0
devmain,WrtConcern1,1,80,29.934051542695,29.934051542695,33324.34296539951,READ,24017.0,20020.0,3039671.0,47.0,147.0
devmain,WrtConcern1,1,80,29.934051542695,29.934051542695,33454.164658299625,UPDATE,23983.0,20901.0,1554564.0,48.0,136.0
devmain,WrtConcern1,1,90,29.48084236593587,29.48084236593587,33573.99503317395,READ,26979.0,19068.0,1785947.0,48.0,132.0
devmain,WrtConcern1,1,90,29.48084236593587,29.48084236593587,34233.06598571481,UPDATE,27021.0,21423.0,1479180.0,48.0,159.0
devmain,WrtConcern1,2,50,35.096010987391175,70.19202197478235,56452.92182734385,READ,15082.0,22565.0,1559487.0,94.0,292.0
devmain,WrtConcern1,2,50,35.096010987391175,70.19202197478235,57444.74165437726,UPDATE,14918.0,22287.0,2668464.0,97.0,305.0
devmain,WrtConcern1,2,75,37.88251873290552,75.76503746581103,52643.12735660737,READ,22543.0,21743.0,1568312.0,80.0,287.0
devmain,WrtConcern1,2,75,37.88251873290552,75.76503746581103,52850.553591307835,UPDATE,22457.0,22496.0,1552060.0,81.0,279.0
devmain,WrtConcern1,2,100,38.817967025430946,77.63593405086189,51338.036385485866,READ,29957.0,21492.0,1491707.0,76.0,249.0
devmain,WrtConcern1,2,100,38.817967025430946,77.63593405086189,51666.42099657158,UPDATE,30043.0,21344.0,1697100.0,76.0,240.0
devmain,WrtConcern1,3,100,39.421036379046406,118.26310913713922,74430.79371657754,READ,29920.0,21132.0,2296452.0,123.0,344.0
devmain,WrtConcern1,3,100,39.421036379046406,118.26310913713922,75392.56210106383,UPDATE,30080.0,22481.0,2481869.0,124.0,344.0
devmain,WrtConcern1,4,100,39.8005461961623,159.2021847846492,98753.363769515,READ,30041.0,22289.0,2225265.0,171.0,464.0
devmain,WrtConcern1,4,100,39.8005461961623,159.2021847846492,98999.64635001168,UPDATE,29959.0,22294.0,2286005.0,170.0,451.0
devmain,WrtConcern1,5,90,39.2668443854957,196.3342219274785,124791.5732156819,READ,26859.0,22053.0,2029786.0,237.0,561.0
devmain,WrtConcern1,5,90,39.2668443854957,196.3342219274785,125167.07715264728,UPDATE,27141.0,22247.0,2002700.0,241.0,568.0
devmain,WrtConcern1,5,100,38.84561199966852,194.2280599983426,127008.2497509464,READ,30114.0,23287.0,1410806.0,241.0,554.0
devmain,WrtConcern1,5,100,38.84561199966852,194.2280599983426,128472.22970621695,UPDATE,29886.0,22601.0,1475616.0,243.0,600.0
devmain,WrtConcern1,6,100,39.38155210573159,236.28931263438955,150045.04514262648,READ,29728.0,23628.0,1782792.0,308.0,584.0
devmain,WrtConcern1,6,100,39.38155210573159,236.28931263438955,151705.52672436574,UPDATE,30272.0,22595.0,1739372.0,310.0,609.0
devmain,WrtConcern1,7,100,38.61048583574327,270.2734008502029,178366.7222425797,READ,30019.0,23145.0,2862019.0,348.0,711.0
devmain,WrtConcern1,7,100,38.61048583574327,270.2734008502029,179634.31573329776,UPDATE,29981.0,22734.0,3117816.0,354.0,709.0
devmain,WrtConcern1,8,100,39.71045781524974,317.6836625219979,198225.05115149094,READ,30048.0,22337.0,4300479.0,397.0,715.0
devmain,WrtConcern1,8,100,39.71045781524974,317.6836625219979,198380.66579861112,UPDATE,29952.0,23370.0,6214935.0,402.0,737.0
devmain,WrtConcern1,9,100,41.14436185094769,370.2992566585292,216840.43731807687,READ,29889.0,22032.0,2073325.0,420.0,797.0
devmain,WrtConcern1,9,100,41.14436185094769,370.2992566585292,217074.12822556542,UPDATE,30111.0,22158.0,2032975.0,424.0,799.0
