configName,workload,threads,target,actualTput,actualTput Total,averageLatency,operation,numOperations,minLatency,maxLatency,percentile95Latency,percentile99Latency
local,WA,64,120,119.44161047104785,7644.2630701470625,98212.11291678342,READ,7138.0,2406.0,5366429.0,188.0,0
local,WA,64,120,119.44161047104785,7644.2630701470625,118226.20531534012,UPDATE,7262.0,2543.0,6798781.0,195.0,0.0
local,WA,64,160,159.41018232539602,10202.251668825345,116373.2802580381,READ,9766.0,2473.0,5749676.0,243.0,0.0
local,WA,64,160,159.41018232539602,10202.251668825345,108177.11553953784,UPDATE,9434.0,2611.0,5752485.0,237.0,0.0
local,WA,64,200,199.41504918904548,12762.56314809891,102504.31356993737,READ,11975.0,2489.0,6105915.0,189.0,0.0
local,WA,64,200,199.41504918904548,12762.56314809891,108461.28232848232,UPDATE,12025.0,2565.0,6104176.0,194.0,0.0
local,WA,64,240,239.3835872627983,15320.549584819091,114462.61350163889,READ,14339.0,2312.0,9598140.0,202.0,469.0
local,WA,64,240,239.3835872627983,15320.549584819091,114523.05781066316,UPDATE,14461.0,2529.0,9631463.0,203.0,475.0
local,WA,64,280,279.42949810802946,17883.487878913886,136280.1798445934,READ,16859.0,2693.0,10071833.0,208.0,462.0
local,WA,64,280,279.42949810802946,17883.487878913886,129213.90161878023,UPDATE,16741.0,3065.0,10268647.0,207.0,455.0
local,WA,64,320,316.288877174486,20242.488139167104,153385.51717864754,READ,19239.0,2561.0,10935982.0,214.0,393.0
local,WA,64,320,316.288877174486,20242.488139167104,151572.22457074266,UPDATE,19161.0,3106.0,10959554.0,213.0,372.0
local,WA,64,360,344.67901766479963,22059.457130547176,171784.36829268292,READ,21730.0,2621.0,10823231.0,213.0,435.0
local,WA,64,360,344.67901766479963,22059.457130547176,169132.64415463438,UPDATE,21470.0,2641.0,10815327.0,212.0,406.0
local,WA,64,40,39.4889472082137,2527.292621325677,153678.798000833,READ,2401.0,2468.0,5859880.0,227.0,406.0
local,WA,64,40,39.4889472082137,2527.292621325677,146946.80283451438,UPDATE,2399.0,2603.0,5714734.0,223.0,0.0
local,WA,64,400,319.2890497159658,20434.49918182181,193404.1214992105,READ,24066.0,3424.0,11297856.0,225.0,755.0
local,WA,64,400,319.2890497159658,20434.49918182181,205868.87716219603,UPDATE,23934.0,8158.0,11327004.0,227.0,797.0
local,WA,64,80,79.45835885381317,5085.334966644043,110057.58515739003,READ,4797.0,2390.0,7799883.0,173.0,797.0
local,WA,64,80,79.45835885381317,5085.334966644043,140184.08057464086,UPDATE,4803.0,2621.0,7754747.0,178.0,0.0
