configName,workload,threads,target,actualTput,actualTput Total,averageLatency,operation,numOperations,minLatency,maxLatency,percentile95Latency,percentile99Latency
local,WA,300,160,157.4828983,47244.8695,313259.211,READ,9554,2572,10068642,811,0
local,WA,300,200,197.4658549,59239.75646,400730.6646,READ,12075,2435,9904400,916,0
local,WA,300,200,197.4658549,59239.75646,400730.6646,READ,12075,2435,9904400,916,0
local,WA,300,240,237.4219929,71226.59786,475169.4672,READ,14424,2456,10422611,0,0
local,WA,300,240,237.4219929,71226.59786,475169.4672,READ,14424,2456,10422611,0,0
local,WA,300,280,257.5067825,77252.03476,694743.1862,READ,16624,2429,11846205,0,0
local,WA,300,280,257.5067825,77252.03476,694743.1862,READ,16624,2429,11846205,0,0
local,WA,300,300,283.3976226,85019.28678,459670.322,READ,18123,2458,11184937,0,0
local,WA,300,300,283.3976226,85019.28678,459670.322,READ,18123,2458,11184937,0,0
local,WA,300,160,157.4828983,47244.8695,322420.8624,UPDATE,9646,2609,10027914,916,0
local,WA,300,200,197.4658549,59239.75646,428392.4855,UPDATE,11925,2652,9979252,0,0
local,WA,300,200,197.4658549,59239.75646,428392.4855,UPDATE,11925,2652,9979252,0,0
local,WA,300,240,237.4219929,71226.59786,466132.0284,UPDATE,14376,2543,10336730,0,0
local,WA,300,240,237.4219929,71226.59786,466132.0284,UPDATE,14376,2543,10336730,0,0
local,WA,300,280,257.5067825,77252.03476,651852.0558,UPDATE,16976,2589,11939465,0,0
local,WA,300,280,257.5067825,77252.03476,651852.0558,UPDATE,16976,2589,11939465,0,0
local,WA,300,300,283.3976226,85019.28678,444356.1119,UPDATE,17877,2574,11132804,0,0
local,WA,300,300,283.3976226,85019.28678,444356.1119,UPDATE,17877,2574,11132804,0,0
