configName,workload,threads,target,actualTput,actualTput Total,averageLatency,operation,numOperations,minLatency,maxLatency,percentile95Latency,percentile99Latency
local,WA,16,10,9.869963234386953,157.91941175019124,32921.854545454546,READ,605.0,2790.0,1818818.0,103.0,323.0
local,WA,16,10,9.869963234386953,157.91941175019124,3.75,CLEANUP,16.0,1.0,13.0,0.0,0.0
local,WA,16,100,99.85936472800806,1597.749835648129,38482.14431780087,READ,5966.0,2349.0,5306903.0,89.0,272.0
local,WA,16,100,99.85936472800806,1597.749835648129,3.0,CLEANUP,16.0,1.0,9.0,0.0,0.0
local,WA,16,100,99.85936472800806,1597.749835648129,38604.92426251243,UPDATE,6034.0,2392.0,5307981.0,91.0,228.0
local,WA,16,110,109.22269846260778,1747.5631754017245,47813.38255338483,READ,6603.0,2366.0,5194543.0,123.0,272.0
local,WA,16,110,109.22269846260778,1747.5631754017245,11.6875,CLEANUP,16.0,1.0,103.0,0.0,0.0
local,WA,16,110,109.22269846260778,1747.5631754017245,47266.352736092165,UPDATE,6597.0,2423.0,5179968.0,127.0,329.0
local,WA,16,120,119.870140680929,1917.922250894864,47413.447545717034,READ,7273.0,2431.0,6334554.0,121.0,247.0
local,WA,16,120,119.870140680929,1917.922250894864,9.75,CLEANUP,16.0,1.0,76.0,0.0,0.0
local,WA,16,120,119.870140680929,1917.922250894864,46854.62705205556,UPDATE,7127.0,2446.0,6326584.0,122.0,229.0
local,WA,16,130,129.86472424557752,2077.8355879292403,48428.740844710985,READ,7837.0,2377.0,6411285.0,133.0,220.0
local,WA,16,130,129.86472424557752,2077.8355879292403,3.375,CLEANUP,16.0,1.0,14.0,0.0,0.0
local,WA,16,130,129.86472424557752,2077.8355879292403,44997.51011207008,UPDATE,7763.0,2310.0,6421229.0,134.0,242.0
local,WA,16,140,139.8566469368897,2237.706350990235,40553.49341707936,READ,8279.0,2311.0,6192395.0,117.0,228.0
local,WA,16,140,139.8566469368897,2237.706350990235,7.375,CLEANUP,16.0,0.0,84.0,0.0,0.0
local,WA,16,140,139.8566469368897,2237.706350990235,45917.7621171224,UPDATE,8521.0,2332.0,6177102.0,120.0,247.0
local,WA,16,15,14.83019427554501,237.28310840872015,4.125,CLEANUP,16.0,2.0,10.0,0.0,0.0
local,WA,16,150,149.86886474334958,2397.901835893593,47103.26550538112,READ,9013.0,2351.0,5748979.0,134.0,288.0
local,WA,16,150,149.86886474334958,2397.901835893593,3.875,CLEANUP,16.0,0.0,19.0,0.0,0.0
local,WA,16,150,149.86886474334958,2397.901835893593,46921.12006231223,UPDATE,8987.0,2447.0,5752384.0,138.0,266.0
local,WA,16,160,159.85612948346488,2557.698071735438,43836.835352593975,READ,9657.0,2350.0,7191983.0,126.0,213.0
